ID,Group
FN796760,Leithiinae
FN796761,Leithiinae
FN796762,Leithiinae
FN796763,Leithiinae
FN796764,Leithiinae
FN796765,Leithiinae
FN796766,Leithiinae
FN796767,Leithiinae
FN796768,Leithiinae
FN796770,Leithiinae
HE799313,Leithiinae
KP257560,Leithiinae
KP257561,Leithiinae
KP257562,Leithiinae
KP257563,Leithiinae
LT614875,Leithiinae
LT614876,Leithiinae
LT614878,Leithiinae
LT614879,Leithiinae
LT614884,Leithiinae
FN796755,Leithiinae
FN796757,Leithiinae
FN796756,Leithiinae
FN796754,Leithiinae
LT614891,Leithiinae
FN796753,Leithiinae
FM160657,Glirinae
MZ420649,Graphiurinae
KF931103,Glirinae
KF931104,Glirinae
KF931105,Glirinae
KF931106,Glirinae
KF931107,Glirinae
KF931108,Glirinae
KF931109,Glirinae
KF931110,Glirinae
KF931112,Glirinae
KF931111,Glirinae
FM160662,Glirinae
KJ850430,Glirinae
KJ850431,Glirinae
FM160664,Glirinae
AJ001562,Glirinae
NC001892,Glirinae
PQ533847,Glirinae
PQ533848,Glirinae
KF699243,Glirinae
KF699242,Leithiinae
KT922160,Glirinae
KT922161,Glirinae
MK335777,Glirinae
FM160651,Glirinae
FM160653,Glirinae
FM160655,Glirinae
KJ850421,Glirinae
KJ850422,Glirinae
KJ850423,Glirinae
KJ850424,Glirinae
KJ850425,Glirinae
KJ850426,Glirinae
KJ850427,Glirinae
KJ850428,Glirinae
KJ850429,Glirinae
FM160652,Glirinae
FM160654,Glirinae
KM061382,Glirinae
KM061383,Glirinae
FM160656,Glirinae
JF318976,Glirinae
MN460849,Glirinae
FM160665,Glirinae
FM160660,Glirinae
FM160733,Glirinae
FM160734,Glirinae
FM160659,Glirinae
FM160658,Glirinae
HE613993,Leithiinae
HE613991,Leithiinae
KF422705,Leithiinae
OL908019,Leithiinae
OL908020,Leithiinae
OL908021,Leithiinae
OL908022,Leithiinae
OL908023,Leithiinae
OL908013,Leithiinae
OL908014,Leithiinae
OL908015,Leithiinae
OL908016,Leithiinae
OL908017,Leithiinae
OL908018,Leithiinae
OL907996,Leithiinae
OL907997,Leithiinae
OL907998,Leithiinae
OL907999,Leithiinae
PQ533836,Leithiinae
OL908001,Leithiinae
OL908002,Leithiinae
OL908003,Leithiinae
OL908004,Leithiinae
OL908005,Leithiinae
OL908006,Leithiinae
OL908000,Leithiinae
OL908007,Leithiinae
OL908008,Leithiinae
OL908009,Leithiinae
OL908010,Leithiinae
OL908011,Leithiinae
OL908012,Leithiinae
OL907995,Leithiinae
PP971634,Leithiinae
NC050023,Sciurinae
NC050013,Sciurinae
NC065807,Sciurinae
NC026443,Sciurinae
AF011738,Sciurinae
NC023089,Sciurinae
PQ533850,Xerinae
PQ533849,Xerinae
PQ533851,Xerinae
NC031210,Xerinae
NC086592,Xerinae
NC032372,Xerinae
NC080357,Callosciurinae
NC029325,Callosciurinae
NC049032,Callosciurinae
NC048991,Callosciurinae
NC025550,Callosciurinae
NC030070,Callosciurinae
NC030071,Callosciurinae
NC030072,Callosciurinae
NC023780,Ratufinae
